Date,sentiment,CP,sentiment_shifted,return,sentiment_rolling
2008-01-02,0.0,1447.16,,,
2008-01-03,0.225,1447.16,0.0,0.0,
2008-01-07,0.5,1416.18,0.225,-0.021407446308632117,
2008-01-09,0.0,1409.13,0.5,-0.0049781807397364375,
2008-01-10,0.075,1420.33,0.0,0.007948166599249129,0.15999999999999998
2008-01-22,0.12261904761904763,1310.5,0.075,-0.07732710004013144,0.1845238095238095
2008-01-29,0.0,1362.3,0.12261904761904763,0.0395268981304846,0.13952380952380952
2008-01-30,0.3333333333333333,1355.81,0.0,-0.004764002055347549,0.1061904761904762
2008-02-01,0.13636363636363635,1395.42,0.3333333333333333,0.029215008002596354,0.13346320346320345
2008-02-05,-0.08333333333333333,1336.64,0.13636363636363635,-0.04212351836722994,0.1017965367965368
2008-02-11,0.0,1339.13,-0.08333333333333333,0.0018628800574576054,0.07727272727272727
2008-02-21,0.38,1342.53,0.0,0.0025389618632991606,0.15327272727272728
2008-02-22,0.1,1353.11,0.38,0.00788064326309268,0.10660606060606062
2008-02-28,0.0,1367.68,0.1,0.010767786802255763,0.07933333333333334
2008-02-29,-0.0625,1330.63,0.0,-0.02708967009826857,0.08349999999999999
2008-03-05,0.6,1333.7,-0.0625,0.002307177802995497,0.20350000000000001
2008-03-07,0.0,1293.37,0.6,-0.030239184224338467,0.1275
2008-03-10,-0.07777777777777778,1273.37,0.0,-0.015463479128169033,0.09194444444444444
2008-03-11,0.0,1320.65,-0.07777777777777778,0.037129820869032715,0.09194444444444443
2008-03-18,0.0,1330.74,0.0,0.007640177185476826,0.10444444444444442
2008-03-27,0.0,1325.76,0.0,-0.0037422787321340634,-0.015555555555555567
2008-04-02,0.3333333333333333,1367.53,0.0,0.031506456673907834,0.05111111111111109
2008-04-07,0.0,1372.54,0.3333333333333333,0.0036635393739077315,0.06666666666666665
2008-04-16,0.0,1364.71,0.0,-0.005704751774083028,0.06666666666666665
2008-04-22,0.0,1375.94,0.0,0.00822885448190469,0.06666666666666665
2008-04-23,-0.43333333333333335,1379.93,0.0,0.0028998357486518245,-0.020000000000000018
2008-04-24,0.2,1388.82,-0.43333333333333335,0.006442355771669517,-0.046666666666666676
2008-04-25,0.0,1397.84,0.2,0.006494722138218112,-0.046666666666666676
2008-05-05,0.0,1407.49,0.0,0.00690350826990227,-0.046666666666666676
2008-05-06,0.25,1418.26,0.0,0.007651919374205063,0.0033333333333333214
2008-05-07,0.0625,1392.57,0.25,-0.018113745011492988,0.1025
2008-05-08,-0.1,1397.68,0.0625,0.0036694744249841094,0.04249999999999999
2008-05-12,-0.13333333333333333,1403.58,-0.1,0.00422128097990937,0.01583333333333332
2008-05-16,0.16,1425.35,-0.13333333333333333,0.01551033785035405,0.047833333333333325
2008-05-21,0.0,1390.71,0.16,-0.024302802820359792,-0.002166666666666678
2008-05-23,0.0,1375.93,0.0,-0.010627665005644604,-0.014666666666666679
2008-05-27,0.0,1385.35,0.0,0.0068462785170755325,0.005333333333333324
2008-05-29,-0.3,1398.26,0.0,0.00931894467102179,-0.028000000000000008
2008-06-02,0.0,1385.67,-0.3,-0.009004047888089395,-0.06000000000000001
2008-06-04,0.18181818181818182,1377.2,0.0,-0.006112566484083537,-0.023636363636363643
2008-06-05,0.3,1404.05,0.18181818181818182,0.019496079000871358,0.036363636363636355
2008-06-09,0.0,1361.76,0.3,-0.030120009971154826,0.036363636363636355
2008-06-13,0.0,1360.03,0.0,-0.001270414757372773,0.09636363636363635
2008-06-20,0.0,1317.93,0.0,-0.030955199517657683,0.09636363636363635
2008-06-24,0.0,1314.29,0.0,-0.0027619069298067123,0.059999999999999984
2008-07-01,0.0,1284.91,0.0,-0.022354274931712048,0.0
2008-07-02,-0.07777777777777778,1261.52,0.0,-0.01820360959133327,-0.015555555555555567
2008-07-07,0.43333333333333335,1252.31,-0.07777777777777778,-0.00730071659585263,0.0711111111111111
2008-07-09,0.0,1244.69,0.43333333333333335,-0.006084755372072315,0.0711111111111111
2008-07-14,-0.15833333333333333,1228.3,0.0,-0.013167937398067098,0.039444444444444435
2008-07-23,0.0,1282.19,-0.15833333333333333,0.04387364650329739,0.039444444444444435
2008-07-29,0.0,1263.2,0.0,-0.01481059749335123,0.05499999999999999
2008-07-31,0.0,1267.38,0.0,0.0033090563647879545,-0.031666666666666676
2008-08-01,0.25,1260.31,0.0,-0.005578437406302927,0.018333333333333323
2008-08-04,0.43333333333333335,1249.01,0.25,-0.0089660480358007,0.13666666666666666
2008-08-08,-0.2,1296.32,0.43333333333333335,0.0378779993755054,0.09666666666666665
2008-08-13,0.0,1285.83,-0.2,-0.008092137743766936,0.09666666666666665
2008-08-14,-0.22499999999999998,1292.93,0.0,0.005521725266948385,0.05166666666666666
2008-08-19,0.0,1266.69,-0.22499999999999998,-0.02029498890117798,0.0016666666666666607
2008-08-26,0.05000000000000001,1271.51,0.0,0.0038051930622329255,-0.07500000000000001
2008-08-27,0.0,1281.66,0.05000000000000001,0.007982634820017154,-0.035
2008-08-28,0.0,1300.68,0.0,0.01484012920743405,-0.035
2008-09-03,0.0,1274.98,0.0,-0.01975889534704922,0.009999999999999992
2008-09-09,0.5,1224.51,0.0,-0.039584934665641835,0.10999999999999999
2008-09-10,0.0,1232.04,0.5,0.006149398534924133,0.09999999999999999
2008-09-11,0.0,1249.05,0.0,0.013806369923054396,0.09999999999999999
2008-09-15,0.0,1192.7,0.0,-0.045114286858012,0.09999999999999999
2008-09-16,0.0,1213.6,0.0,0.017523266538106652,0.09999999999999999
