,precision,recall,f1-score,support
0,0.0,0.0,0.0,341.0
1,0.5135520684736091,1.0,0.6786050895381716,360.0
accuracy,0.5135520684736091,0.5135520684736091,0.5135520684736091,0.5135520684736091
macro avg,0.25677603423680456,0.5,0.3393025447690858,701.0
weighted avg,0.2637357270335225,0.5135520684736091,0.34849904740904675,701.0
